PlayerName,Date,MatchType(OneDay-T20-Test),OppositionTeam,TossWin,BowlingFirst,BattingFirst,hometeam,LastMatchesPerformance,Last3MatchesPerformance,Last6MatchesPerformance,weather,pitch,Form(InOrOut),Order(BattingBowlingOrder),Performance(IT is label. For Batsman:Runs. For Bowler: Wickets)
David Warner,14/05/2010,T20,PAKISTAN,WIN,TRUE,FALSE,None,bad,bad,average,CLEAR,Normal,OUT,1,0
David Warner,16/05/2010,T20,ENGLAND,Loss,FALSE,TRUE,None,average,average,bad,Sunny,DRY,OUT,2,2
David Warner,05/07/2010,T20,PAKISTAN,Loss,TRUE,FALSE,None,average,good,bad,Sunny,DRY,IN,1,41
David Warner,06/07/2010,T20,PAKISTAN,Loss,TRUE,FALSE,None,bad,bad,average,FOGGY,DAMP,OUT,1,1
David Warner,31/10/2010,T20,SRI LANKA,WIN,FALSE,TRUE,None,average,bad,average,Sunny,Normal,OUT,1,2
David Warner,12/01/2011,T20,ENGLAND,Win,FALSE,TRUE,Australia,good,bad,bad,CLEAR,Normal,IN,1,30
David Warner,14/01/2011,T20,ENGLAND,WIN,FALSE,TRUE,Australia,good,bad,bad,CLEAR,Normal,IN,1,30
David Warner,06/08/2011,T20,SRI LANKA,WIN,TRUE,FALSE,SRI LANKA,average,bad,bad,FOGGY,Normal,IN,2,53
David Warner,08/08/2011,T20,SRI LANKA,Loss,TRUE,FALSE,SRI LANKA,bad,good,bad,CLEAR,HARD,IN,1,16
David Warner,13/10/2011,T20,SOUTH AFRICA,Loss,TRUE,FALSE,SOUTH AFRICA,bad,good,average,CLEAR,HARD,OUT,2,0
David Warner,16/10/2011,T20,SOUTH AFRICA,WIN,FALSE ,TRUE,SOUTH AFRICA,bad,bad,good,SUNNY,NORMAL,OUT,1,0
David Warner,01/02/2012,T20,INDIA,loss,FALSE ,TRUE,Australia,bad,bad,average,SUNNY,GREEN,IN,1,25
David Warner,03/02/2012,T20,INDIA,WIN,FALSE ,TRUE,Australia,bad,bad,bad,CLEAR,HARD,OUT,1,8
David Warner,27/03/2012,T20,WEST INDIES,LOSS,TRUE,FALSE,WESTINDIES,average,bad,bad,CLEAR,NORMAL,OUT,1,0
David Warner,30/03/2012,T20,WEST INDIES,LOSS,TRUE,FALSE,WESTINDIES,average,bad,bad,SUNNY,DRY,IN,1,58
David Warner,05/09/2012,T20,PAKISTAN,LOSS,FALSE ,TRUE,NONE,average,bad,bad,CLEAR,Normal,IN,2,22
David Warner,10/09/2012,T20,PAKISTAN,LOSS,FALSE ,TRUE,NONE,average,bad,bad,SUNNY,GREEN,IN,1,59
David Warner,19/09/2012,T20,IRELAND,LOSS,TRUE,FALSE,NONE,bad,good,bad,CLEAR,Normal,IN,1,26
David Warner,22/09/2012,T20,WEST INDIES,LOSS,TRUE,FALSE,NONE,average,good,average,CLEAR,Normal,IN,1,28
David Warner,28/09/2012,T20,INDIA,LOSS,TRUE,FALSE,NONE,average,good,good,FOGGY,DAMP,IN,2,63
David Warner,12/03/2014,T20,SOUTH AFRICA,WIN,TRUE,FALSE,NONE,bad,good,good,CLEAR,Normal,OUT,2,5
David Warner,23/03/2014,T20,PAKISTAN,WIN,TRUE,FALSE,NONE,bad,good,good,Rainy,DAMP,OUT,1,8
David Warner,28/03/2014,T20,WEST INDIES,WIN,FALSE ,TRUE,NONE,bad,bad,good,CLEAR,Normal,IN,2,20
David Warner,30/03/2014,T20,INDIA,WIN,TRUE,FALSE,NONE,average,bad,average,CLEAR,DUSTY,IN,2,19
David Warner,01/04/2014,T20,BANGLADESH,LOSS,TRUE,FALSE,BANGLADESH,good,bad,bad,CLEAR,Normal,IN,2,48
David Warner,05/10/2014,T20,PAKISTAN,LOSS,TRUE,FALSE,NONE,average,bad,bad,CLEAR,Normal,IN,1,53
David Warner,31/08/2015,T20,ENGLAND,WIN,TRUE,FALSE,NONE,bad,good,bad,CLEAR,DRY,OUT,1,4
David Warner,26/01/2016,T20,INDIA,WIN,TRUE,FALSE,Australia,bad,good,average,FOGGY,DAMP,IN,2,17
David Warner,04/03/2016,T20,SOUTH AFRICA,WIN,FALSE ,TRUE,SOUTH AFRICA,average,bad,good,CLEAR,DRY,IN,3,20
David Warner,06/03/2016,T20,SOUTH AFRICA,WIN,TRUE,FALSE,SOUTH AFRICA,good,bad,average,SUNNY,DRY,IN,4,77
David Warner,09/03/2016,T20,SOUTH AFRICA,LOSS,TRUE,FALSE,SOUTH AFRICA,average,good,bad,CLEAR ,GREEN,IN,4,33
David Warner,18/03/2016,T20,NEW ZEALAND,LOSS,TRUE,FALSE,NONE,bad,good,average,RAINY,DAMP,OUT,4,6
David Warner,21/03/2016,T20,BANGLADESH,WIN,TRUE,FALSE,BANGLADESH,bad,good,good,CLEAR,DAMP,IN,4,17
David Warner,25/03/2016,T20,PAKISTAN,WIN,FALSE ,TRUE,NONE,bad,bad,good,CLEAR,HARD,OUT,3,9
David Warner,27/03/2016,T20,INDIA,WIN,FALSE ,TRUE,INDIA,bad,bad,average,CLEAR,HARD,OUT,3,6
David Warner,06/09/2016,T20,SRI LANKA,LOSS,FALSE ,TRUE,SRI LANKA,bad,bad,bad,FOGGY,DAMP,IN,2,28
David Warner,09/09/2016,T20,SRI LANKA,LOSS,TRUE,FALSE,SRI LANKA,bad,bad,bad,CLEAR,GREEN,IN,1,25
David Warner,07/10/2017,T20,INDIA,LOSS,FALSE ,TRUE,INDIA,bad,bad,bad,CLEAR,DRY,OUT,1,8
David Warner,10/10/2017,T20,INDIA,WIN,TRUE,FALSE,INDIA,bad,bad,bad,CLEAR,GREEN,OUT,2,2
David Warner,03/02/2018,T20,NEW ZEALAND,WIN,TRUE,FALSE,Australia,bad,bad,bad,FOGGY,DAMP,OUT,1,6
David Warner,07/02/2018,T20,ENGLAND,WIN,TRUE,FALSE,Australia,bad,bad,bad,CLEAR,Normal,OUT,1,4
David Warner,10/02/2018,T20,ENGLAND,WIN,TRUE,FALSE,Australia,average,bad,bad,FOGGY,GREEN,OUT,1,2
David Warner,16/02/2018,T20,NEW ZEALAND,LOSS,TRUE,FALSE,NEW ZEALAND,average,bad,bad,CLEAR,HARD,IN,1,59
David Warner,21/02/2018,T20,NEW ZEALAND,LOSS,TRUE,FALSE,NEW ZEALAND,average,bad,bad,CLEAR,HARD,IN,1,25
David Warner,27/10/2019,T20,SRI LANKA,LOSS,FALSE ,TRUE,Australia,good,bad,bad,SUNNY,DRY,IN,2,100
David Warner,30/10/2019,T20,SRI LANKA,LOSS,TRUE,FALSE,Australia,good,good,bad,CLEAR,DUSTY,IN,1,60
David Warner,01/11/2019,T20,SRI LANKA,WIN,TRUE,FALSE,Australia,average,good,average,CLEAR,DAMP,IN,2,57
David Warner,03/11/2019,T20,PAKISTAN,WIN,TRUE,FALSE,Australia,bad,good,good,RAINY,DAMP,OUT,1,2
David Warner,05/11/2019,T20,PAKISTAN,LOSS,TRUE,FALSE,Australia,average,good,good,CLEAR,Normal,IN,1,20
David Warner,08/11/2019,T20,PAKISTAN,WIN,TRUE,FALSE,Australia,average,bad,good,CLEAR,Normal,IN,1,48
David Warner,21/02/2020,T20,SOUTH AFRICA,LOSS,FALSE ,TRUE,SOUTH AFRICA,average,bad,average,RAINY,DAMP,OUT,1,4
David Warner,23/02/2020,T20,SOUTH AFRICA,LOSS,TRUE,FALSE,SOUTH AFRICA,good,bad,bad,CLEAR,Normal,IN,1,67
David Warner,26/02/2020,T20,SOUTH AFRICA,LOSS,FALSE ,TRUE,SOUTH AFRICA,average,good,bad,CLEAR,DUSTY,IN,1,57
